"Date","Asset","Return"
2013-01-30,"Nykredit Invest Engros DK Fokusaktier KL",-0.00661926
2013-01-30,"Nykredit Invest Ansvarlige Kreditobl.",-0.00466805
2013-01-30,"Wealth Invest HP Invest Korte Danske Obl",-0.00182011
2013-01-30,"iShares Gold Producers ETF USD Acc",-0.070209
2013-01-30,"Nordea Invest Danske Aktier Fokus KL 2",0.00615359
2013-01-30,"Nordea Invest Korte Obli Lagerbe KL 2",-0.00453702
2013-01-30,"Nordea Invest Euro High Yield Bonds KL 2",-0.00901348
2013-02-06,"BankInvest Korte Danske Obligationer W",0.000879314
2013-02-06,"BankInvest Korte Danske Obligationer A",0.000879314
2013-02-06,"BGF Swiss Small & MidCap Opps D2",0.00797994
2013-02-06,"BGF World Gold A2 HKD Hedged",-0.00343351
2013-02-06,"BGF World Gold A2",-0.00386922
2013-02-06,"BGF World Gold X2",-0.0036385
2013-02-06,"BGF World Gold D4",-0.00408776
2013-02-06,"BGF World Gold I2",-0.00368636
2013-02-06,"BGF World Gold D2 SGD Hedged",-0.0060843
2013-02-06,"BGF Swiss Small & MidCap Opps A2",0.00784976
2013-02-06,"BGF World Gold D2",-0.0037594
2013-02-06,"BGF World Gold A4",-0.00386922
2013-02-06,"BSF European Unconstrained Eq I2 PF EUR",-0.00415098
2013-02-06,"Danske Invest Alm Bol ML Obl Kl DKK W d",0.000682727
2013-02-06,"Danske Invest Danm In x OMXC20 DKK Wd",-0.0082602
2013-02-06,"Danske Inv Euro IG CB Rst DKK Wd",0.00119532
2013-02-06,"Danske Invest Euro IG Obl KL DKK Wdh",0.000434405
2013-02-06,"Danske Invest US High Yield Bonds KL",0.000434405
2013-02-06,"Danske Invest Kommuner 4 KL",-0.000478103
2013-02-06,"Danske Invest Danm In ex OMXC20 DKK d",-0.0082602
2013-02-06,"Danske Inv EuroIG CorpBds Re KL DKKd",0.00119532
2013-02-06,"Danske Invest Teknologi Indeks KL",-0.00205053
2013-02-06,"Danske Invest Euro IG Corp Bd I",-0.00122445
2013-02-06,"Wealth Invest HP Engros Korte Danske Obl",0.000126972
2013-02-06,"Gudme Raaschou European High Yield",-0.00934873
2013-02-06,"Jyske Invest Højt Ratede Vrk.obl KL",-0.000735497
2013-02-06,"Maj Invest Danske Obligationer",0.000283126
2013-02-06,"Maj Invest Vækstaktier",0.00496648
2013-02-06,"Nordea Invest Engros Corporate Bonds",0.00201536
2013-02-06,"Nordea Invest Danske Aktier Fokus KL 1",0.00220175
2013-02-06,"Nordea Invest Euro High Yield Bnd KL 1",-0.00717623
2013-02-06,"Nordea Invest Korte Obl Lagerbe KL 1",0.00248602
2013-02-06,"Nykredit Alpha Mira",0.0184634
2013-02-06,"Nykredit Invest Engros DK Fokusaktier KL",-0.000882852
2013-02-06,"Nykredit Invest Ansvarlige Kreditobl.",-0.00382143
2013-02-06,"Wealth Invest HP Invest Korte Danske Obl",0.000126972
2013-02-06,"iShares Gold Producers ETF USD Acc",0.00403321
2013-02-06,"Nordea Invest Danske Aktier Fokus KL 2",0.00220175
2013-02-06,"Nordea Invest Korte Obli Lagerbe KL 2",0.00248602
2013-02-06,"Nordea Invest Euro High Yield Bonds KL 2",-0.00717623
2013-02-13,"BankInvest Korte Danske Obligationer W",-0.000549089
2013-02-13,"BankInvest Korte Danske Obligationer A",-0.000549089
2013-02-13,"BGF Swiss Small & MidCap Opps D2",0.0225742
2013-02-13,"BGF World Gold A2 HKD Hedged",-0.00374678
2013-02-13,"BGF World Gold A2",-0.00326337
2013-02-13,"BGF World Gold X2",-0.00274585
2013-02-13,"BGF World Gold D4",-0.00727927
2013-02-13,"BGF World Gold I2",-0.00292326
2013-02-13,"BGF World Gold D2 SGD Hedged",-0.00345847
2013-02-13,"BGF Swiss Small & MidCap Opps A2",0.0224232
2013-02-13,"BGF World Gold D2",-0.00309349
2013-02-13,"BGF World Gold A4",-0.00326337
2013-02-13,"BSF European Unconstrained Eq I2 PF EUR",0.0163154
2013-02-13,"Danske Invest Alm Bol ML Obl Kl DKK W d",-0.000292398
2013-02-13,"Danske Invest Danm In x OMXC20 DKK Wd",0.017595
2013-02-13,"Danske Inv Euro IG CB Rst DKK Wd",0.00195564
2013-02-13,"Danske Invest Euro IG Obl KL DKK Wdh",0.00347373
2013-02-13,"Danske Invest US High Yield Bonds KL",0.00347373
2013-02-13,"Danske Invest Kommuner 4 KL",0.000669664
2013-02-13,"Danske Invest Danm In ex OMXC20 DKK d",0.017595
2013-02-13,"Danske Inv EuroIG CorpBds Re KL DKKd",0.00195564
2013-02-13,"Danske Invest Gl VO KL DKK W d h",0.00333778
2013-02-13,"Danske Invest Euro IG Corp Bd I",0.00438909
2013-02-13,"Wealth Invest HP Engros Korte Danske Obl",0.00117888
2013-02-13,"Gudme Raaschou European High Yield",0.00166534
2013-02-13,"Jyske Invest Højt Ratede Vrk.obl KL",0.0037722
2013-02-13,"Maj Invest Danske Obligationer",-0.000188697
2013-02-13,"Maj Invest Vækstaktier",-0.000432419
2013-02-13,"Nordea Invest Engros Corporate Bonds",0.00258596
2013-02-13,"Nordea Invest Danske Aktier Fokus KL 1",0.00634662
2013-02-13,"Nordea Invest Korte Obl Lagerbe KL 1",0.000103327
2013-02-13,"Nykredit Alpha Mira",0.000398433
2013-02-13,"Nykredit Invest Engros DK Fokusaktier KL",0.00355606
2013-02-13,"Nykredit Invest Ansvarlige Kreditobl.",0.00348736
2013-02-13,"Wealth Invest HP Invest Korte Danske Obl",0.00117888
2013-02-13,"iShares Gold Producers ETF USD Acc",-0.0202363
2013-02-13,"Nordea Invest Danske Aktier Fokus KL 2",0.00634662
2013-02-13,"Nordea Invest Korte Obli Lagerbe KL 2",0.000103327
2013-02-20,"BankInvest Korte Danske Obligationer W",0.00120866
2013-02-20,"BankInvest Korte Danske Obligationer A",0.00120866
2013-02-20,"BGF Swiss Small & MidCap Opps D2",0.0141004
2013-02-20,"BGF World Gold A2 HKD Hedged",-0.0761926
2013-02-20,"BGF World Gold A2",-0.0763727
2013-02-20,"BGF World Gold X2",-0.0760443
2013-02-20,"BGF World Gold D4",-0.0733257
2013-02-20,"BGF World Gold I2",-0.0763325
2013-02-20,"BGF World Gold D2 SGD Hedged",-0.0745379
2013-02-20,"BGF Swiss Small & MidCap Opps A2",0.0139277
2013-02-20,"BGF World Gold D2",-0.0762367
2013-02-20,"BGF World Gold A4",-0.0763727
2013-02-20,"BSF European Unconstrained Eq I2 PF EUR",0.00869834
2013-02-20,"Danske Invest Alm Bol ML Obl Kl DKK W d",0.000682461
2013-02-20,"Danske Invest Danm In x OMXC20 DKK Wd",0.0182116
2013-02-20,"Danske Inv Euro IG CB Rst DKK Wd",0.00296063
2013-02-20,"Danske Invest Euro IG Obl KL DKK Wdh",0.00363479
2013-02-20,"Danske Invest US High Yield Bonds KL",0.00363479
2013-02-20,"Danske Invest Kommuner 4 KL",0.000382409
2013-02-20,"Danske Invest Danm In ex OMXC20 DKK d",0.0182116
2013-02-20,"Danske Inv EuroIG CorpBds Re KL DKKd",0.00296063
2013-02-20,"Danske Invest Gl VO KL DKK W d h",0.00361182
2013-02-20,"Danske Invest Euro IG Corp Bd I",0.00386077
2013-02-20,"Wealth Invest HP Engros Korte Danske Obl",0.000160224
2013-02-20,"Gudme Raaschou European High Yield",0.00443354
2013-02-20,"Jyske Invest Højt Ratede Vrk.obl KL",0.00256645
2013-02-20,"Maj Invest Danske Obligationer",0.00179296
2013-02-20,"Maj Invest Vækstaktier",0.000432606
2013-02-20,"Nordea Invest Engros Corporate Bonds",0.00267482
2013-02-20,"Nordea Invest Danske Aktier Fokus KL 1",0.0152814
2013-02-20,"Nordea Invest Euro High Yield Bnd KL 1",0.00285762
2013-02-20,"Nordea Invest Korte Obl Lagerbe KL 1",0.00196301
